explorer,model,seed,mean_1st_dim,var_1st_dim,time,jitter_std,n_logprob,n_steps,miness,minKSess,acceptance_prob,step_size,n_rounds,energy_jump_dist
adaptive MALA,kilpisjarvi,5,0.0,0.0,2.816891541,0.0,131068,65534,49.674840124817734,3.018775317840992,3.0517578125e-5,0.1,15,Inf
NUTS,kilpisjarvi,5,1.2745922856446923,1.5869213928185044,38.940424336,0.0,131068,1847461,46.09216932978424,2.003166099521079,0.8711411468881961,0.0152313297261483,15,0.5007159333950785
DRHMC,kilpisjarvi,5,-6076.48939665689,2.261722317635171e8,163.81090795800003,0.0,262132,1310665,0.0003106771356122151,0.8922764991411904,0.0263671875,0.1,15,29.375690105705967
AutoStep MALA,kilpisjarvi,6,-0.05171130255619666,4.38493722168175e-11,24.193655001,0.0,344630,689260,49.65475938329067,0.9888239869773794,0.178436279296875,1.1920930376163597e-7,15,0.019061300639314
adaptive MALA,kilpisjarvi,6,0.0,0.0,2.807873334,0.0,131068,65534,49.67248129443169,0.8829933379037929,3.0517578125e-5,0.1,15,NaN
NUTS,kilpisjarvi,6,-0.8062637513008003,6.309474359567318,39.900483499,0.0,131068,1875401,56.30482190911683,2.324780922813801,0.8655608642549566,0.015132685016409086,15,0.4957664067661334
DRHMC,kilpisjarvi,6,-12335.777400841276,6.687097980636127e8,163.834136334,0.0,262132,1310665,9.501524202503135e-5,0.8715059600616457,0.00830078125,0.1,15,18.924723700911766
AutoStep MALA,kilpisjarvi,7,0.9261314581611015,7.324255297025542e-13,22.996172957,0.0,329058,658116,48.02705971578609,0.8336315900058165,0.235504150390625,2.980232283178452e-8,15,0.035174434126671705
adaptive MALA,kilpisjarvi,7,0.0,0.0,2.788065705,0.0,131068,65534,49.71006317324586,0.7862350047817894,3.0517578125e-5,0.1,15,NaN
NUTS,kilpisjarvi,7,-0.39740025959214914,3.051220418247757,31.208373875,0.0,131068,1453612,53.737257860478564,2.839599590802127,0.8647065487026337,0.015005382694006801,15,0.4994703837951606
DRHMC,kilpisjarvi,7,-13095.89748161049,7.385108245313506e8,163.255800959,0.0,262132,1310665,8.547607259448445e-5,1.1778068826997161,0.00732421875,0.1,15,17.8438935032638
AutoStep MALA,kilpisjarvi,8,0.40933367963453293,1.094255380919998e-10,26.248353209,0.0,375082,750164,48.87716721709247,3.018775317840992,0.1080322265625,3.5762786865234375e-7,15,0.0064135194160532955
adaptive MALA,kilpisjarvi,8,0.0,0.0,2.782377543,0.0,131068,65534,49.54272795075023,3.018775317840992,3.0517578125e-5,0.1,15,Inf
NUTS,kilpisjarvi,8,1.4937795091159638,2.9021840124937834,39.683827836000006,0.0,131068,1882202,43.98936209652664,2.9094442496351727,0.8638328701778193,0.015635455818652635,15,0.4755955489121779
DRHMC,kilpisjarvi,8,-543259.4224550609,8.942208570926887e11,163.19671612500002,0.0,262132,1310665,6.288548874652905e-8,0.7547859636068992,6.103515625e-5,0.1,15,3.59783150091102
AutoStep MALA,kilpisjarvi,9,0.9924949444934799,3.232662939138668e-11,24.732091955999998,0.0,356373,712746,47.91950411928916,3.018775317840992,0.158111572265625,2.3841863594498136e-7,15,0.01475039341421271
adaptive MALA,kilpisjarvi,9,0.0,0.0,2.7874985839999997,0.0,131068,65534,49.42139103983143,0.9391066556160482,3.0517578125e-5,0.1,15,NaN
NUTS,kilpisjarvi,9,0.17959004095406264,0.7879817473491404,38.860851709,0.0,131068,1842009,50.81405603208673,2.9735945261386276,0.8702804053295883,0.014920700570499797,15,0.4950779441686012
DRHMC,kilpisjarvi,9,-44711.385348815675,6.718177735541208e9,163.417563583,0.0,262132,1310665,8.667748090685378e-6,0.9358542302068489,0.0013427734375,0.1,15,11.55264664300394
AutoStep MALA,kilpisjarvi,10,-0.857287609735554,1.5887624272835984e-10,25.115570253999998,0.0,360143,720286,51.058688417122376,0.8266701875718121,0.14166259765625,3.5762795391747204e-7,15,0.011567091269551067
adaptive MALA,kilpisjarvi,10,0.0516725293404734,0.014357206795095154,2.743462958,0.0,131068,65534,NaN,0.8920396796878796,3.0517578125e-5,0.1,15,0.0
NUTS,kilpisjarvi,10,0.43585425877537404,0.3326387944989528,38.349620499,0.0,131068,1827840,49.33844328998247,2.403163950584413,0.891035867174512,0.014741638566406982,15,0.4842768758693972
DRHMC,kilpisjarvi,10,-52637.86632378489,9.159126675798645e9,154.746286711,0.0,262132,1310665,6.322820416396017e-6,3.018775317840992,0.00146484375,0.1,15,14.956482622462422
AutoStep MALA,orbital,1,0.0,0.0,2.504384625,0.0,196602,393204,NaN,0.905872099044581,NaN,1.0,15,0.0
adaptive MALA,orbital,1,0.0,0.0,2.5478220019999998,0.0,131068,65534,NaN,0.8107963242093131,0.0,0.1,15,NaN
NUTS,orbital,1,-0.559066170287108,25.29682213906284,27.892945914000002,0.0,131068,1596077,65.74638857166026,2.1945460018957528,0.9111032469755179,0.0071093222233590304,15,0.9434494903119304
DRHMC,orbital,1,0.0,0.0,2.9510672099999997,0.0,0,0,NaN,1.2968653554203464,0.0,0.1,15,NaN
AutoStep MALA,orbital,2,0.0,0.0,2.3077790389999997,0.0,196602,393204,NaN,1.0037046052098124,NaN,1.0,15,0.0
adaptive MALA,orbital,2,0.0,0.0,1.156757791,0.0,131068,65534,NaN,0.8329368413753533,0.0,0.1,15,NaN
NUTS,orbital,2,-0.8666242709026903,15.108879899902972,8.593120789,0.0,131068,429588,66.51284135514283,3.009583789764895,0.16939509669337233,1.3601703206119829e-5,15,0.3163592545217228
DRHMC,orbital,2,0.0,0.0,1.614775539,0.0,0,0,NaN,0.8396532884703914,0.0,0.1,15,NaN
AutoStep MALA,orbital,3,0.0,0.0,2.271805458,0.0,196602,393204,NaN,1.1899337474989058,NaN,1.0,15,0.0
