explorer,model, mean_1st_dim,var_1st_dim,time,jitter_std,n_logprob,n_steps,miness,minKSess,acceptance_prob,step_size,n_rounds,energy_jump_dist
AutoStep MALA,"funnel2",-0.2813068706153459,0.10892230647640953,2318.0740676259998,7.003947865508164,5242468,1245083,68.3642857052377,4.095259166447216,0.5039052667802622,0.02741359141664524,15,0.021407073205530657
HitAndRunSlicer,"funnel2",0.5387336478423382,0.9262550471500305,2.355393585,0.0,4590327,2515151,85.53251348867147,3.7181031110768994,0.9999898275774359,10.0,15,0.8672974712234959
adaptive RWMH,"funnel2",25.318529736613755,1245.345248792822,0.128310751,0.0,131068,0,67.3739620464524,4.746937632055143,0.08987701040681173,0.0,15,0.07833246522952936
adaptive MALA,"funnel2",-0.07727521537927398,0.00047366152031654864,0.246398416,0.0,131068,65534,85.56926531443041,3.838005540529113,0.573974609375,0.1,15,0.32908649006726737
NUTS,"funnel2",1.2550477416153442e12,3.150289667453137e24,4.826190918,0.0,131068,4261021,99.40554364263248,1.1939314868737427,0.7113059223504008,0.3444778828447128,15,0.5388930029369392
DRHMC,"funnel2",-0.1816595955992143,0.09056636213304542,145.49637274999998,0.0,302860,2710170,68.45808924801878,4.117700672712343,0.98858642578125,0.1,15,0.48937542497765346
AutoStep RWMH,"funnel2",0.424644603702037,0.12434909529015335,0.667350959,0.2422943115234387,1657219,942755,65.9338473111363,1.9075351194229424,0.5987604007180263,0.0778627784424285,15,0.13955687305557038
AutoStep MALA,"funnel2",-0.13440769426526522,0.07648910302515766,2.1630553359999998,0.19860839843749814,1937524,418847,95.95251999092675,4.10415434176061,0.6005927156924813,0.06023886421415685,15,0.12362950664627836
HitAndRunSlicer,"funnel2",0.5098972652272633,0.733427330786106,2.154887167,0.0,4489120,2478791,123.86706083089378,3.1406341615605404,1.0,10.0,15,0.9056313781738053
adaptive RWMH,"funnel2",1.7907880060419483,4.299140978437317,0.13148579,0.0,131068,0,76.39217998300693,4.151395755112964,0.051332132938627276,0.0,15,0.05401815421415891
adaptive MALA,"funnel2",-0.06174644752461563,0.003598137059548219,0.300140167,0.0,131068,65534,66.24619386684262,4.004568488769603,0.69873046875,0.1,15,0.3624843065076516
NUTS,"funnel2",-7.971240426552814e7,1.2708135405336452e16,5.992182333,0.0,131068,5495551,72.3698435747127,1.5984667171673659,0.5722402709202261,0.4048704411149271,15,0.5162310698800137
