explorer,model,seed,mean_1st_dim,var_1st_dim,time,jitter_std,n_logprob,n_steps,miness,minKSess,acceptance_prob,step_size,n_rounds,energy_jump_dist
AutoStep MALA,kilpisjarvi,5,-0.5387033353227582,1.514501239472314e-10,25.717775668999998,0.0,367526,735052,50.496439245064856,0.8676319720287072,0.120849609375,4.768373855768004e-7,15,0.008285567595260113
adaptive MALA,kilpisjarvi,5,0.0,0.0,2.816891541,0.0,131068,65534,49.674840124817734,3.018775317840992,3.0517578125e-5,0.1,15,Inf
NUTS,kilpisjarvi,5,1.2745922856446923,1.5869213928185044,38.940424336,0.0,131068,1847461,46.09216932978424,2.003166099521079,0.8711411468881961,0.0152313297261483,15,0.5007159333950785
DRHMC,kilpisjarvi,5,-6076.48939665689,2.261722317635171e8,163.81090795800003,0.0,262132,1310665,0.0003106771356122151,0.8922764991411904,0.0263671875,0.1,15,29.375690105705967
AutoStep MALA,kilpisjarvi,6,-0.05171130255619666,4.38493722168175e-11,24.193655001,0.0,344630,689260,49.65475938329067,0.9888239869773794,0.178436279296875,1.1920930376163597e-7,15,0.019061300639314
adaptive MALA,kilpisjarvi,6,0.0,0.0,2.807873334,0.0,131068,65534,49.67248129443169,0.8829933379037929,3.0517578125e-5,0.1,15,NaN
NUTS,kilpisjarvi,6,-0.8062637513008003,6.309474359567318,39.900483499,0.0,131068,1875401,56.30482190911683,2.324780922813801,0.8655608642549566,0.015132685016409086,15,0.4957664067661334
DRHMC,kilpisjarvi,6,-12335.777400841276,6.687097980636127e8,163.834136334,0.0,262132,1310665,9.501524202503135e-5,0.8715059600616457,0.00830078125,0.1,15,18.924723700911766
AutoStep MALA,kilpisjarvi,7,0.9261314581611015,7.324255297025542e-13,22.996172957,0.0,329058,658116,48.02705971578609,0.8336315900058165,0.235504150390625,2.980232283178452e-8,15,0.035174434126671705
adaptive MALA,kilpisjarvi,7,0.0,0.0,2.788065705,0.0,131068,65534,49.71006317324586,0.7862350047817894,3.0517578125e-5,0.1,15,NaN
