explorer,model,seed,mean_1st_dim,var_1st_dim,time,jitter_std,n_logprob,n_steps,miness,minKSess,acceptance_prob,step_size,n_rounds,energy_jump_dist
NUTS,funnel100,3,0.08550827092203983,1.3016726149058107,81.476666874,0.0,131068,1207172,102.15682495899009,497.7813264530284,0.6931872749773325,0.1983479043327101,15,7.098684057572034
DRHMC,funnel100,3,0.05879008836134246,1.0149689940857503,56.93564058,0.0,3108,339325,100.54131680599728,306.56862901547044,1.0,0.1,15,3.933864921900692
AutoStep MALA,funnel100,4,-0.004733459798812012,7.8629931471885,35.640916747,0.0,313918,627836,82.22250192859693,160.04324515998178,0.7512141824003167,0.375,15,-0.0008238433181631793
adaptive MALA,funnel100,4,8.440094485688332e-5,0.007419788540414554,8.536877543,0.0,131068,65534,67.36500622551311,14.681478084445148,0.990264892578125,0.1,15,1.198210677670527
NUTS,funnel100,4,0.0035942445232651616,0.4424867094633841,83.226678288,0.0,131068,1433543,421.3627202910946,1513.7667865863918,0.86385762104052,0.2253219828533029,15,8.451338970432943
DRHMC,funnel100,4,0.15122733334116348,2.0373828630889887,52.905583168,0.0,3704,341560,99.4005505163242,258.1415051552992,1.0,0.1,15,3.8982834388949286
AutoStep MALA,funnel100,5,0.2317705972912063,8.671609201912316,39.600994417,0.0,321956,643912,77.77332606532688,146.60652552418955,0.7562508051949257,0.375,15,0.001561970893282155
adaptive MALA,funnel100,5,-0.015800668383395854,0.00943495885004417,8.964834125,0.0,131068,65534,71.08093983749343,9.23890802667893,0.99810791015625,0.1,15,0.6624427394828791
NUTS,funnel100,5,0.07135717463048437,0.9822289777798419,94.677518001,0.0,131068,1229477,399.61600472062935,1207.8843984995356,0.7218930742543103,0.20906043408914216,15,7.713532429574083
DRHMC,funnel100,5,-0.08579519161992215,0.4438576579421905,80.15720091899999,0.0,3828,342025,77.65893487700542,13.295081618941559,0.999969482421875,0.1,15,3.331262144748341
AutoStep MALA,funnel100,6,0.4454975678476019,10.17439708006271,34.809490043,0.0,321322,642644,78.30564680414928,136.60129002392418,0.7563353866919449,0.375,15,-0.00019017006723337114
adaptive MALA,funnel100,6,0.00946539990679338,0.008903857004671134,9.827098668,0.0,131068,65534,68.90136569440126,29.329398746692238,0.995391845703125,0.1,15,1.0181983410138988
NUTS,funnel100,6,0.3788095545200528,3.955018866985977,83.103449832,0.0,131068,1209266,470.5945924865921,1585.444646264744,0.7396638722208421,0.26448904198327594,15,7.941045441911912
DRHMC,funnel100,6,-0.055637732698085064,0.47483717427979605,90.413706126,0.0,3880,342220,109.07189014042459,370.9322925429207,1.0,0.1,15,4.200323724081694
AutoStep MALA,funnel100,7,-0.6575953958058692,7.640936956616035,37.488647707,0.0,316825,633650,85.06394483798708,214.54169853468548,0.7433470736092472,0.375,15,-0.0013416182638468048
adaptive MALA,funnel100,7,0.005847408864655119,0.01209112072982797,8.883940749,0.0,131068,65534,70.91374447652709,18.014950209592303,0.996673583984375,0.1,15,0.9702801395221224
NUTS,funnel100,7,-0.10960679448884339,0.4695865333818919,91.652947873,0.0,131068,1357979,549.8598837942124,1941.457939486256,0.8680413452155302,0.22148872347596255,15,8.54069147537506
DRHMC,funnel100,7,0.14084289014343454,5.211077231452754,72.621141502,0.0,3564,341035,84.72433461849675,212.14081358218826,0.999969482421875,0.1,15,3.6512574044491224
AutoStep MALA,funnel100,8,0.8291994638682529,9.574419344477871,41.905330168,0.0,303763,607526,81.1488407720949,24.220982377034307,0.7183444816490843,0.5,15,-0.0007616345459102473
adaptive MALA,funnel100,8,0.013974413991837756,0.008085509577624802,9.115840334000001,0.0,131068,65534,76.43635098680758,13.052873037133722,0.997222900390625,0.1,15,0.906041143886241
NUTS,funnel100,8,-0.08308176916918242,0.6921284274651178,67.33831808400001,0.0,131068,1125383,295.7820336002011,1500.514019297907,0.6435760880948771,0.2278267735796732,15,7.324348660035812
DRHMC,funnel100,8,-0.15462492868041885,2.1282109406107446,58.060089291,0.0,3532,340915,109.78309081334368,347.69404137945185,1.0,0.1,15,4.074628062521575
AutoStep MALA,funnel100,9,0.5323422442247655,6.053131004762289,37.976286623,0.0,323792,647584,87.35378548251832,200.54668256124413,0.7681763826747281,0.375,15,0.001517089964287547
adaptive MALA,funnel100,9,0.00464431821861409,0.010873520990691617,9.708206418,0.0,131068,65534,73.71806732628554,2.3966033345712945,0.990234375,0.1,15,1.4356814440392707
NUTS,funnel100,9,0.1866413632622092,10.28427946774155,110.557234503,0.0,131068,1335395,445.5024345486437,1500.3203851661333,0.8426067811472016,0.26288128723621385,15,8.354349244081114
DRHMC,funnel100,9,-0.04202194857878018,2.882390820115953,56.60974658400001,0.0,3308,340075,109.51994233550346,374.9178402432975,1.0,0.1,15,4.006894801161722
AutoStep MALA,funnel100,10,0.8293497487486092,11.034335844218262,53.681954876,0.0,303966,607932,78.55399601872018,182.0372920638782,0.7083936818662466,0.5,15,-0.00042964658950885113
adaptive MALA,funnel100,10,-0.0077022031825541015,0.011918738036057804,10.279632208,0.0,131068,65534,69.23206276156894,86.20778394760353,0.997528076171875,0.1,15,0.9207899979742372
NUTS,funnel100,10,-0.11655770926265722,0.8305575434721887,85.987739875,0.0,131068,1299649,431.7927629262038,1681.8408364167253,0.8816464112734741,0.15293594303329394,15,8.3829479305891
DRHMC,funnel100,10,0.29246882311190264,5.520386075293687,65.347927165,0.0,3312,340090,98.2782865403585,292.73551314842933,1.0,0.1,15,4.05849066561074
AutoStep RWMH,funnel100,1,1.4466007331305633,0.855858455093826,0.672937168,0.0,832062,417055,67.53155218476265,3.898899647406597,0.5602386666640671,0.07061193725471565,15,0.21141473855198797
adaptive RWMH,funnel100,1,0.02838155922518569,0.9785393750770056,2.674719541,0.0,131068,0,NaN,2.9224915652840857,0.0,0.0,15,0.0
