explorer,model,seed,mean_1st_dim,var_1st_dim,time,n_logprob,n_steps,acceptance_prob,energy_jump_dist,miness,minKSess,geyerESS
NUTS,funnel2,4,2.7506514626394982,0.9496369529166988,2.6259706229999997,131068,552823,0.4798900701183168,0.44868234913030175,67.3083242927022,0.7547859636068992,10.56477947206402
NUTS,funnel2,5,3.4541742952248784,0.83353560327679,2.020509836,131068,742057,0.6641613240284708,0.5106064638619343,69.58572610801194,0.754693829460248,6.718749773307559
NUTS,funnel2,6,1.4134161286757216,0.5305723006988949,2.9857358759999997,131068,1417344,0.8995137011662897,0.506500154659876,98.50418559789001,0.8713345022127165,88.91529460543948
NUTS,funnel2,7,2.243038229169292,0.4756065475901472,2.355774167,131068,1068686,0.8942068041117754,0.5048892550881052,88.79362111362195,0.754693829460248,87.71144055531775
NUTS,funnel2,8,3.371280352239259,0.4666366418833043,2.297886499,131068,1115117,0.9229925907306672,0.3897987378590273,100.6675882339137,0.754693829460248,18.631357482034126
NUTS,funnel2,9,1.3557221741740046,0.5359320579135354,2.247384957,131068,710977,0.7394829815159082,0.5653007633612852,114.57598202216228,0.8621503905612602,197.26329893256258
NUTS,funnel2,10,3.992922452511837,0.7126561861105133,1.774400376,131068,702313,0.5170048325271719,0.48661080918986305,77.17444609873533,0.754693829460248,42.161452681440586
adaptive RWMH,funnel100,1,0.061932740314079957,3.0093573764038963e-32,2.674719541,131068,0,0.0,0.0,NaN,0.754693829460248,NaN
adaptive RWMH,funnel100,2,-1.4107270035180508,1.5974920846620466e-29,0.7706004590000001,131068,0,0.0,0.0,NaN,0.754693829460248,NaN
adaptive RWMH,funnel100,3,0.663933944788043,3.155539920320092e-30,1.734715625,131068,0,0.0,0.0,NaN,0.754693829460248,NaN
adaptive RWMH,funnel100,4,3.1914853725136654,0.755631564962098,0.450668917,131068,0,0.005279702139347514,0.00929797956747836,67.11095619608899,0.754693829460248,1.5201255574101828
adaptive RWMH,funnel100,5,0.37817192964843055,1.11245108519097e-30,0.889458169,131068,0,0.0,0.0,NaN,0.754693829460248,NaN
adaptive RWMH,funnel100,6,1.6272815717027815,4.930531125500144e-30,0.648806873,131068,0,0.0,0.0,NaN,0.754693829460248,NaN
adaptive RWMH,funnel100,7,-1.2660704897900557,7.099964820720207e-30,0.945497043,131068,0,0.0,0.0,NaN,0.754693829460248,NaN
adaptive RWMH,funnel100,8,0.8542437245195508,0.005054594566210536,0.86454871,131068,0,3.051850947599719e-5,5.5717682024658614e-5,68.17179757538779,0.754693829460248,6.3401163695072364
adaptive RWMH,funnel100,9,0.3994074448576435,1.9722124502000576e-31,0.8655750420000001,131068,0,0.0,0.0,NaN,0.754693829460248,NaN
adaptive RWMH,funnel100,10,1.2755279263567898,3.155539920320092e-30,0.510726874,131068,0,0.0,0.0,NaN,0.754693829460248,NaN
adaptive MALA,funnel100,1,1.3468548861164504,3.608106401369702,9.634960623,131068,65534,0.99822998046875,0.6986751744201389,70.94525368757625,1.4185300009691972,4.304004318496493
adaptive MALA,funnel100,2,-0.7336838157294693,4.963065712885005,10.347147206999999,131068,65534,0.99639892578125,0.9760863011226721,68.95232480635171,2.284470408522364,4.625967586769357
adaptive MALA,funnel100,3,-0.11182189089376249,7.265781739788862,9.384547956999999,131068,65534,0.997406005859375,0.9097997875800228,67.88013885012809,2.2934727594279094,2.83892331979284
adaptive MALA,funnel100,4,-1.7646759850408302,9.346154117571443,8.536877543,131068,65534,0.990264892578125,1.198210677670527,67.36500622551311,2.5305053718832884,2.025453518953407
adaptive MALA,funnel100,5,1.6183691651234755,3.403165458518967,8.964834125,131068,65534,0.99810791015625,0.6624427394828791,71.08093983749343,1.3924256967390416,5.438226712077227
adaptive MALA,funnel100,6,-1.0505449906576647,5.173058073755916,9.827098668,131068,65534,0.995391845703125,1.0181983410138988,68.90136569440126,2.351912348655392,7.662646418213646
adaptive MALA,funnel100,7,-0.7425894957755549,4.053109772475717,8.883940749,131068,65534,0.996673583984375,0.9702801395221224,70.91374447652709,2.294449172703819,8.39976656191321
adaptive MALA,funnel100,8,-0.5571056837256984,1.9387715695149434,9.115840334000001,131068,65534,0.997222900390625,0.906041143886241,76.43635098680758,1.9092020999065678,18.440008500052812
adaptive MALA,funnel100,9,-3.3879646397927794,3.2578195064357156,9.708206418,131068,65534,0.990234375,1.4356814440392707,73.71806732628554,1.409622159523162,25.223490814570873
adaptive MALA,funnel100,10,-0.34516241721820795,5.5342026352282225,10.279632208,131068,65534,0.997528076171875,0.9207899979742372,69.23206276156894,2.600066313161047,9.732671865209909
AutoStep RWMH,funnel100,1,1.446600733130555,0.8558584550938267,0.672937168,832062,417055,0.5602386666640671,0.21141473855198797,67.53155218476265,0.977047894950681,2.3537449837265783
AutoStep RWMH,funnel100,2,-0.41275434126029187,0.991718780066297,0.84861092,839373,420130,0.5602898327645077,0.22171938315163559,67.17515492641353,2.0137651079816177,1.5480712889807517
AutoStep RWMH,funnel100,3,-0.2831392693947599,2.2795372064665966,0.552359834,852684,427801,0.5559099176311668,0.21934719678908604,66.32615566905797,1.9550496193073792,1.7550670391650136
AutoStep RWMH,funnel100,4,-2.294889542177226,1.963507200306001,0.5421496690000001,805947,405493,0.5537010279473892,0.2157226550965663,66.64299343618346,1.78924692563716,2.2734270488057735
AutoStep RWMH,funnel100,5,-2.4718069956887208,1.588600775244073,0.5426702109999999,806413,409182,0.5584344921427633,0.20952893427180339,68.45943219560144,1.5364648906082705,3.025860953040289
AutoStep RWMH,funnel100,6,0.023198775047193504,1.141954485489304,0.557357416,819669,414781,0.5616962295633845,0.20362005317215753,67.45732941548636,1.5865500998633244,3.0920531028644795
AutoStep RWMH,funnel100,7,-0.29702567820624415,1.5838651251924007,1.258470584,823952,408561,0.5473396552697822,0.2293077630030696,66.8500349675648,1.9788885131681373,2.4531046812790214
AutoStep RWMH,funnel100,8,-1.311184127392895,1.878001095515559,0.536529916,818057,417393,0.5638403747769236,0.2017722856005799,66.32244192408382,2.03155018118444,1.437987703315917
AutoStep RWMH,funnel100,9,-2.0872714534509877,2.8878720984528923,0.5528926249999999,810952,407054,0.5492873971971208,0.22709537928661377,66.22628701837452,1.9261805794099411,2.114104185081457
AutoStep RWMH,funnel100,10,-3.904607217785471,0.9167529340359974,0.9832505409999999,815537,414220,0.5560578011200673,0.21397567842506596,68.35703568329244,0.7731752514893222,4.303224555571811
AutoStep MALA,funnel100,1,0.8589697307880338,6.027323480856294,31.242864420000004,321800,643600,0.7726179300090982,0.00035613180200481064,86.37479836923073,2.3552101625184676,21.725376559107797
AutoStep MALA,funnel100,2,-0.4613794856850394,8.858973136715624,37.803295332000005,316523,633046,0.7473810675167369,-0.00011997750323829636,78.50816631201265,3.451753334243092,22.268065283476382
AutoStep MALA,funnel100,3,-0.8055020980086299,7.529610519318673,34.698187916,319329,638658,0.7391184491561853,-0.0012067339714580201,81.89141486877892,3.488082549469407,21.67805330598243
AutoStep MALA,funnel100,4,-0.004733459798812012,7.8629931471885,35.640916747,313918,627836,0.7512141824003167,-0.0008238433181631793,82.22250192859693,3.2493492891689595,28.1948042621238
AutoStep MALA,funnel100,5,0.2317705972912063,8.671609201912316,39.600994417,321956,643912,0.7562508051949257,0.001561970893282155,77.77332606532688,2.7144617712150194,11.592175447551673
AutoStep MALA,funnel100,6,0.4454975678476019,10.17439708006271,34.809490043,321322,642644,0.7563353866919449,-0.00019017006723337114,78.30564680414928,2.879002619181937,20.713657499947164
AutoStep MALA,funnel100,7,-0.6575953958058692,7.640936956616035,37.488647707,316825,633650,0.7433470736092472,-0.0013416182638468048,85.06394483798708,3.537576322539678,42.59257260510755
AutoStep MALA,funnel100,8,0.8291994638682529,9.574419344477871,41.905330168,303763,607526,0.7183444816490843,-0.0007616345459102473,81.1488407720949,2.002170514884222,46.99773950385871
AutoStep MALA,funnel100,9,0.5323422442247655,6.053131004762289,37.976286623,323792,647584,0.7681763826747281,0.001517089964287547,87.35378548251832,2.6205106178898125,46.977718759805
AutoStep MALA,funnel100,10,0.8293497487486092,11.034335844218262,53.681954876,303966,607932,0.7083936818662466,-0.00042964658950885113,78.55399601872018,2.778086678713513,30.47588299724472
DRHMC,funnel100,1,0.2808513424392809,9.211388442240358,53.438709499,3644,341335,1.0,3.9224151937767924,97.71174995227793,2.8643012077455485,60.81339712130265
DRHMC,funnel100,2,0.09098800194012907,8.584779203920869,59.656328749,3424,340510,1.0,3.96107267208223,93.49936398239596,3.3319610109503395,32.71745231598406
DRHMC,funnel100,3,0.18052434741506446,7.971322520254273,56.93564058,3108,339325,1.0,3.933864921900692,100.54131680599728,3.332388363502047,58.71567395316386
DRHMC,funnel100,4,0.19521488252715402,8.884359454588013,52.905583168,3704,341560,1.0,3.8982834388949286,99.4005505163242,3.292154004823007,40.938487947225326
DRHMC,funnel100,5,1.6267446777846482,14.607637205459552,80.15720091899999,3828,342025,0.999969482421875,3.331262144748341,77.65893487700542,1.9069799444014321,5.007173586255357
DRHMC,funnel100,6,-0.4019406706527114,6.926988372711517,90.413706126,3880,342220,1.0,4.200323724081694,109.07189014042459,3.535707185092588,63.400746297514
DRHMC,funnel100,7,0.8739332736379608,12.081438472974627,72.621141502,3564,341035,0.999969482421875,3.6512574044491224,84.72433461849675,2.3674469864141634,31.193355703037103
DRHMC,funnel100,8,-0.2586480732894903,7.2635042498394435,58.060089291,3532,340915,1.0,4.074628062521575,109.78309081334368,3.4472521241405363,54.59861484845388
